epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.568913,0,0,0,19.6757,0,0,0,0,0,0,0,0,0,0,0,0,8.98607,0,0,0,0
2,1.20975,0,0,0,19.8819,0,0,0,0,0,0,0,0,0,0,0,0,8.61929,0,1.9802e-05,1.9802e-05,1.9802e-05
3,1.75156,0,0,0,12.2666,0,0,0,0,0,0,0,0,0,0,0,0,7.62867,0,3.9208e-05,3.9208e-05,3.9208e-05
4,2.29735,0,0,0,6.70595,0,0,0,0,0,0,0,0,0,0,0,0,6.46534,0,5.8218e-05,5.8218e-05,5.8218e-05
5,2.86117,0,0,0,3.84248,0,0,0,0,0,0,0,0,0,0,0,0,5.19354,0,7.6832e-05,7.6832e-05,7.6832e-05
6,3.38568,0,0,0,2.79608,0,0,0,0,0,0,0,0,0,0,0,0,4.15288,0,9.505e-05,9.505e-05,9.505e-05
7,3.93107,0,0,0,2.7908,0,0,0,0,0,0,0,0,0,0,0,0,3.12651,0,0.000112872,0.000112872,0.000112872
8,4.4699,0,0,0,2.58912,0,0,0,0,0,0,0,0,0,0,0,0,2.22905,0,0.000130298,0.000130298,0.000130298
9,5.00041,0,0,0,0.67999,0,0,0,0,0,0,0,0,0,0,0,0,1.47057,0,0.000147328,0.000147328,0.000147328
10,5.54388,0,0,0,0.97422,0,0,0,0,0,0,0,0,0,0,0,0,1.11301,0,0.000163962,0.000163962,0.000163962
11,6.07884,0,0,0,0.31245,0,0,0,0,0,0,0,0,0,0,0,0,1.0518,0,0.0001802,0.0001802,0.0001802
12,6.64398,0,0,0,0.30774,0,0,0,0,0,0,0,0,0,0,0,0,1.313,0,0.000196042,0.000196042,0.000196042
13,7.18826,0,0,0,0.25892,0,0,0,0,0,0,0,0,0,0,0,0,1.55672,0,0.000211488,0.000211488,0.000211488
14,7.76665,0,0,0,0.15261,0,0,0,0,0,0,0,0,0,0,0,0,1.58657,0,0.000226538,0.000226538,0.000226538
15,8.40098,0,0,0,0.15577,0,0,0,0,0,0,0,0,0,0,0,0,1.92304,0,0.000241192,0.000241192,0.000241192
16,8.94893,0,0,0,0.11724,0,0,0,0,0,0,0,0,0,0,0,0,1.88932,0,0.00025545,0.00025545,0.00025545
17,9.50192,0,0,0,0.12994,0,0,0,0,0,0,0,0,0,0,0,0,1.07627,0,0.000269312,0.000269312,0.000269312
18,10.014,0,0,0,0.07768,0,0,0,0,0,0,0,0,0,0,0,0,1.07627,0,0.000282778,0.000282778,0.000282778
19,10.5884,0,0,0,0.10637,0,0,0,0,0,0,0,0,0,0,0,0,0.63818,0,0.000295848,0.000295848,0.000295848
20,11.1003,0,0,0,0.05972,0,0,0,0,0,0,0,0,0,0,0,0,0.63818,0,0.000308522,0.000308522,0.000308522
21,11.6637,0,0,0,0.06455,0,0,0,0,0,0,0,0,0,0,0,0,0.37374,0,0.0003208,0.0003208,0.0003208
22,12.1822,0,0,0,0.0501,0,0,0,0,0,0,0,0,0,0,0,0,0.37374,0,0.000332682,0.000332682,0.000332682
23,12.7325,0,0,0,0.0651,0,0,0,0,0,0,0,0,0,0,0,0,0.22935,0,0.000344168,0.000344168,0.000344168
24,13.2357,0,0,0,0.05139,0,0,0,0,0,0,0,0,0,0,0,0,0.22935,0,0.000355258,0.000355258,0.000355258
25,13.7826,0,0,0,0.04311,0,0,0,0,0,0,0,0,0,0,0,0,0.14119,0,0.000365952,0.000365952,0.000365952
26,14.285,0,0,0,0.03781,0,0,0,0,0,0,0,0,0,0,0,0,0.14119,0,0.00037625,0.00037625,0.00037625
27,14.8465,0,0,0,0.03448,0,0,0,0,0,0,0,0,0,0,0,0,0.0856,0,0.000386152,0.000386152,0.000386152
28,15.359,0,0,0,0.02491,0,0,0,0,0,0,0,0,0,0,0,0,0.0856,0,0.000395658,0.000395658,0.000395658
29,16.0023,0,0,0,0.02926,0,0,0,0,0,0,0,0,0,0,0,0,0.04932,0,0.000404768,0.000404768,0.000404768
30,16.5117,0,0,0,0.02816,0,0,0,0,0,0,0,0,0,0,0,0,0.04932,0,0.000413482,0.000413482,0.000413482
31,17.095,0,0,0,0.02791,0,0,0,0,0,0,0,0,0,0,0,0,0.03555,0,0.0004218,0.0004218,0.0004218
32,17.6158,0,0,0,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0.03555,0,0.000429722,0.000429722,0.000429722
33,18.1677,0,0,0,0.02388,0,0,0,0,0,0,0,0,0,0,0,0,0.02709,0,0.000437248,0.000437248,0.000437248
34,18.6719,0,0,0,0.02415,0,0,0,0,0,0,0,0,0,0,0,0,0.02709,0,0.000444378,0.000444378,0.000444378
35,19.2226,0,0,0,0.02039,0,0,0,0,0,0,0,0,0,0,0,0,0.01834,0,0.000451112,0.000451112,0.000451112
36,19.7351,0,0,0,0.01746,0,0,0,0,0,0,0,0,0,0,0,0,0.01834,0,0.00045745,0.00045745,0.00045745
37,20.3201,0,0,0,0.0192,0,0,0,0,0,0,0,0,0,0,0,0,0.01233,0,0.000463392,0.000463392,0.000463392
38,20.8321,0,0,0,0.01668,0,0,0,0,0,0,0,0,0,0,0,0,0.01233,0,0.000468938,0.000468938,0.000468938
39,21.3909,0,0,0,0.01617,0,0,0,0,0,0,0,0,0,0,0,0,0.00902,0,0.000474088,0.000474088,0.000474088
40,21.9079,0,0,0,0.01698,0,0,0,0,0,0,0,0,0,0,0,0,0.00902,0,0.000478842,0.000478842,0.000478842
41,22.4779,0,0,0,0.01348,0,0,0,0,0,0,0,0,0,0,0,0,0.00733,0,0.0004832,0.0004832,0.0004832
42,23.0064,0,0,0,0.01297,0,0,0,0,0,0,0,0,0,0,0,0,0.00733,0,0.000487162,0.000487162,0.000487162
43,23.6506,0,0,0,0.01293,0,0,0,0,0,0,0,0,0,0,0,0,0.00601,0,0.000490728,0.000490728,0.000490728
44,24.1637,0,0,0,0.0128,0,0,0,0,0,0,0,0,0,0,0,0,0.00601,0,0.000493898,0.000493898,0.000493898
45,24.7384,0,0,0,0.01412,0,0,0,0,0,0,0,0,0,0,0,0,0.00523,0,0.000496672,0.000496672,0.000496672
46,25.2521,0,0,0,0.01119,0,0,0,0,0,0,0,0,0,0,0,0,0.00523,0,0.00049905,0.00049905,0.00049905
47,25.8119,0,0,0,0.01136,0,0,0,0,0,0,0,0,0,0,0,0,0.00471,0,0.000501032,0.000501032,0.000501032
48,26.3156,0,0,0,0.01138,0,0,0,0,0,0,0,0,0,0,0,0,0.00471,0,0.000502618,0.000502618,0.000502618
49,26.871,0,0,0,0.01243,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.000503808,0.000503808,0.000503808
50,27.379,0,0,0,0.01098,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.000504602,0.000504602,0.000504602
51,27.9497,0,0,0,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0.00432,0,0.000505,0.000505,0.000505
52,28.4736,0,0,0,0.00998,0,0,0,0,0,0,0,0,0,0,0,0,0.00432,0,0.000505002,0.000505002,0.000505002
53,29.0051,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,0,0,0,0.00432,0,0.000504608,0.000504608,0.000504608
54,29.5453,0,0,0,0.01101,0,0,0,0,0,0,0,0,0,0,0,0,0.00439,0,0.000503818,0.000503818,0.000503818
55,30.0523,0,0,0,0.00982,0,0,0,0,0,0,0,0,0,0,0,0,0.00439,0,0.000502632,0.000502632,0.000502632
56,30.554,0,0,0,0.00927,0,0,0,0,0,0,0,0,0,0,0,0,0.00439,0,0.00050105,0.00050105,0.00050105
57,31.1327,0,0,0,0.00943,0,0,0,0,0,0,0,0,0,0,0,0,0.00441,0,0.000499072,0.000499072,0.000499072
58,31.7485,0,0,0,0.00887,0,0,0,0,0,0,0,0,0,0,0,0,0.00441,0,0.000496698,0.000496698,0.000496698
59,32.2763,0,0,0,0.00861,0,0,0,0,0,0,0,0,0,0,0,0,0.00441,0,0.000493928,0.000493928,0.000493928
60,32.9748,0,0,0,0.00929,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.000490762,0.000490762,0.000490762
61,33.5033,0,0,0,0.00874,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.0004872,0.0004872,0.0004872
62,34.0209,0,0,0,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.000483242,0.000483242,0.000483242
63,34.5796,0,0,0,0.0095,0,0,0,0,0,0,0,0,0,0,0,0,0.00451,0,0.000478888,0.000478888,0.000478888
64,35.1042,0,0,0,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0.00451,0,0.000474138,0.000474138,0.000474138
65,35.6336,0,0,0,0.00835,0,0,0,0,0,0,0,0,0,0,0,0,0.00451,0,0.000468992,0.000468992,0.000468992
66,36.1943,0,0,0,0.00922,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.00046345,0.00046345,0.00046345
67,36.7123,0,0,0,0.00759,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.000457512,0.000457512,0.000457512
68,37.2085,0,0,0,0.00816,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.000451178,0.000451178,0.000451178
69,37.7884,0,0,0,0.00867,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.000444448,0.000444448,0.000444448
70,38.3082,0,0,0,0.00744,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.000437322,0.000437322,0.000437322
71,38.8252,0,0,0,0.00791,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.0004298,0.0004298,0.0004298
72,39.3871,0,0,0,0.00814,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0.000421882,0.000421882,0.000421882
73,39.9338,0,0,0,0.00762,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0.000413568,0.000413568,0.000413568
74,40.5532,0,0,0,0.00783,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0.000404858,0.000404858,0.000404858
75,41.2486,0,0,0,0.00782,0,0,0,0,0,0,0,0,0,0,0,0,0.00457,0,0.000395752,0.000395752,0.000395752
76,41.7719,0,0,0,0.00724,0,0,0,0,0,0,0,0,0,0,0,0,0.00457,0,0.00038625,0.00038625,0.00038625
77,42.311,0,0,0,0.00757,0,0,0,0,0,0,0,0,0,0,0,0,0.00457,0,0.000376352,0.000376352,0.000376352
78,42.9277,0,0,0,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.000366058,0.000366058,0.000366058
79,43.5052,0,0,0,0.00733,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.000355368,0.000355368,0.000355368
80,44.1382,0,0,0,0.00717,0,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0.000344282,0.000344282,0.000344282
81,44.7878,0,0,0,0.00732,0,0,0,0,0,0,0,0,0,0,0,0,0.00438,0,0.0003328,0.0003328,0.0003328
82,45.3774,0,0,0,0.00764,0,0,0,0,0,0,0,0,0,0,0,0,0.00438,0,0.000320922,0.000320922,0.000320922
83,45.968,0,0,0,0.00694,0,0,0,0,0,0,0,0,0,0,0,0,0.00438,0,0.000308648,0.000308648,0.000308648
84,46.5513,0,0,0,0.00725,0,0,0,0,0,0,0,0,0,0,0,0,0.00428,0,0.000295978,0.000295978,0.000295978
85,47.0794,0,0,0,0.00687,0,0,0,0,0,0,0,0,0,0,0,0,0.00428,0,0.000282912,0.000282912,0.000282912
86,47.6037,0,0,0,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0.00428,0,0.00026945,0.00026945,0.00026945
87,48.1301,0,0,0,0.00692,0,0,0,0,0,0,0,0,0,0,0,0,0.00428,0,0.000255592,0.000255592,0.000255592
88,48.7124,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0,0.00427,0,0.000241338,0.000241338,0.000241338
89,49.3458,0,0,0,0.00623,0,0,0,0,0,0,0,0,0,0,0,0,0.00427,0,0.000226688,0.000226688,0.000226688
90,49.8614,0,0,0,0.00682,0,0,0,0,0,0,0,0,0,0,0,0,0.00427,0,0.000211642,0.000211642,0.000211642
91,50.4167,0,0,0,0.00759,0,0,0,0,0,0,0,0,0,0,0,0,0.00427,0,0.0001962,0.0001962,0.0001962
92,50.9999,0,0,0,0.00686,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0,0.000180362,0.000180362,0.000180362
93,51.5317,0,0,0,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0,0.000164128,0.000164128,0.000164128
94,52.0581,0,0,0,0.00627,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0,0.000147498,0.000147498,0.000147498
95,52.5738,0,0,0,0.00696,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0,0.000130472,0.000130472,0.000130472
96,53.1413,0,0,0,0.00668,0,0,0,0,0,0,0,0,0,0,0,0,0.00478,0,0.00011305,0.00011305,0.00011305
97,53.6774,0,0,0,0.00621,0,0,0,0,0,0,0,0,0,0,0,0,0.00478,0,9.5232e-05,9.5232e-05,9.5232e-05
98,54.206,0,0,0,0.00622,0,0,0,0,0,0,0,0,0,0,0,0,0.00478,0,7.7018e-05,7.7018e-05,7.7018e-05
99,54.7308,0,0,0,0.00732,0,0,0,0,0,0,0,0,0,0,0,0,0.00478,0,5.8408e-05,5.8408e-05,5.8408e-05
100,55.305,0,0,0,0.00693,0,0,0,0,0,0,0,0,0,0,0,0,0.00499,0,3.9402e-05,3.9402e-05,3.9402e-05
